,game,release_date,price,owners,developer,publisher,average_playtime,median_playtime,metascore,Rank,Genre,ESRB_Rating,Platform,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,url,img_url
608,Command & Conquer 3: Tiberium Wars,13-Nov-09,14.99,"500,000-1,000,000",EA Los Angeles,Electronic Arts,141.0,47.0,85.0,14183,Strategy,,PC,,,,0.07,,0.06,,0.01,2007.0,http://www.vgchartz.com/game/7473/command-amp-conquer-3-tiberium-wars/?region=All,/games/boxart/full_6114462AmericaFrontccc.jpg
609,Osmos,18-Aug-09,9.99,"500,000-1,000,000",Hemisphere Games,Hemisphere Games,0.0,0.0,80.0,5367,Misc,,PC,7.8,,0.41,,,,,,2009.0,http://www.vgchartz.com/game/35214/osmos/?region=All,/games/boxart/full_5095143AmericaFrontccc.jpg
610,Crayon Physics Deluxe,6-May-09,19.99,"500,000-1,000,000",Kloonigames,Kloonigames,0.0,0.0,79.0,27179,Puzzle,,PC,7.5,,,,,,,,2009.0,http://www.vgchartz.com/game/35449/crayon-physics-deluxe/?region=All,/games/boxart/full_7683174AmericaFrontccc.jpg
611,Hearts of Iron III,7-Aug-09,9.99,"500,000-1,000,000",Paradox Development Studio,Paradox Interactive,0.0,0.0,77.0,12799,Strategy,E10,PC,7.9,,,0.09,0.04,0.04,,0.01,2009.0,http://www.vgchartz.com/game/29831/hearts-of-iron-iii/?region=All,/games/boxart/full_hearts-of-iron-iii_859AmericaFront.jpg
612,Risen,2-Oct-09,9.99,"500,000-1,000,000",Piranha Bytes,Deep Silver,0.0,0.0,77.0,9149,Role-Playing,M,X360,5.9,,,0.19,0.07,0.11,,0.01,2010.0,http://www.vgchartz.com/game/33933/risen/?region=All,/games/boxart/full_4400839AmericaFrontccc.jpg
613,Risen,2-Oct-09,9.99,"500,000-1,000,000",Piranha Bytes,Deep Silver,0.0,0.0,77.0,10838,Role-Playing,M,PC,7.8,,,0.14,,0.12,,0.02,2009.0,http://www.vgchartz.com/game/33934/risen/?region=All,/games/boxart/full_2023297AmericaFrontccc.jpg
614,Risen,2-Oct-09,9.99,"500,000-1,000,000",Piranha Bytes,Deep Silver,0.0,0.0,77.0,42965,Role-Playing,M,XBL,,,,,,,,,2011.0,http://www.vgchartz.com/game/52900/risen/?region=All,/games/boxart/full_risen_381AmericaFront.jpg
615,Sniper Elite,16-Jul-09,7.99,"500,000-1,000,000",Rebellion,Rebellion,8.0,2.0,76.0,8951,Shooter,M,PS2,,,,0.19,0.1,0.07,,0.02,2005.0,http://www.vgchartz.com/game/5703/sniper-elite/?region=All,/games/boxart/8551142ccc.jpg
616,Sniper Elite,16-Jul-09,7.99,"500,000-1,000,000",Rebellion,Rebellion,8.0,2.0,76.0,12018,Shooter,M,Wii,,,,0.11,0.07,0.02,,0.01,2010.0,http://www.vgchartz.com/game/43448/sniper-elite/?region=All,/games/boxart/full_sniper-elite_1AmericaFront.jpg
617,Sniper Elite,16-Jul-09,7.99,"500,000-1,000,000",Rebellion,Rebellion,8.0,2.0,76.0,12960,Shooter,M,XB,,,,0.09,0.07,0.02,,0.0,2005.0,http://www.vgchartz.com/game/2083/sniper-elite/?region=All,/games/boxart/8748701ccc.gif
618,Sniper Elite,16-Jul-09,7.99,"500,000-1,000,000",Rebellion,Rebellion,8.0,2.0,76.0,18444,Shooter,M,PC,7.4,,,0.02,,0.01,,0.0,2005.0,http://www.vgchartz.com/game/29088/sniper-elite/?region=All,/games/boxart/full_8904799AmericaFrontccc.jpg
619,Operation Flashpoint: Dragon Rising,6-Oct-09,9.99,"500,000-1,000,000",Codemasters Studios,Codemasters,0.0,0.0,76.0,2607,Shooter,M,X360,7.4,,,0.93,0.36,0.45,0.02,0.1,2009.0,http://www.vgchartz.com/game/23421/operation-flashpoint-dragon-rising/?region=All,/games/boxart/full_95645AmericaFrontccc.jpg
620,Operation Flashpoint: Dragon Rising,6-Oct-09,9.99,"500,000-1,000,000",Codemasters Studios,Codemasters,0.0,0.0,76.0,2658,Shooter,M,PS3,7.3,,,0.91,0.23,0.46,0.05,0.17,2009.0,http://www.vgchartz.com/game/23422/operation-flashpoint-dragon-rising/?region=All,/games/boxart/full_754945AmericaFrontccc.png
621,Operation Flashpoint: Dragon Rising,6-Oct-09,9.99,"500,000-1,000,000",Codemasters Studios,Codemasters,0.0,0.0,76.0,13860,Shooter,M,PC,7.6,,,0.07,0.03,0.03,,0.01,2009.0,http://www.vgchartz.com/game/23420/operation-flashpoint-dragon-rising/?region=All,/games/boxart/full_1227975AmericaFrontccc.jpg
622,And Yet It Moves,2-Apr-09,9.99,"500,000-1,000,000",Broken Rules,Broken Rules,0.0,0.0,75.0,6384,Platform,E,PC,8.0,,0.32,,,,,,2009.0,http://www.vgchartz.com/game/34072/and-yet-it-moves/?region=All,/games/boxart/full_7560185AmericaFrontccc.jpg
623,And Yet It Moves,2-Apr-09,9.99,"500,000-1,000,000",Broken Rules,Broken Rules,0.0,0.0,75.0,22625,Platform,E,WW,8.4,,,,,,,,2010.0,http://www.vgchartz.com/game/38043/and-yet-it-moves/?region=All,/games/boxart/full_and-yet-it-moves_0AmericaFront.jpg
624,Cogs,14-Apr-09,5.99,"500,000-1,000,000",Lazy 8 Studios,,0.0,0.0,73.0,5758,Puzzle,,PC,7.5,,0.38,,,,,,2009.0,http://www.vgchartz.com/game/42128/cogs/?region=All,/games/boxart/full_cogs_958AmericaFront.jpg
625,Gratuitous Space Battles,16-Nov-09,14.99,"500,000-1,000,000",Positech Games,Positech Games,0.0,0.0,72.0,32520,Strategy,,PC,,,,,,,,,2009.0,http://www.vgchartz.com/game/40569/gratuitous-space-battles/?region=All,/games/boxart/full_2241489AmericaFrontccc.jpg
626,America's Army 3,17-Jun-09,,"500,000-1,000,000",U.S. Army,U.S. Army,0.0,0.0,70.0,22549,Shooter,,PC,,,,,,,,,2009.0,http://www.vgchartz.com/game/35299/americas-army-3/?region=All,/games/boxart/default.jpg
