,game,release_date,price,owners,developer,publisher,average_playtime,median_playtime,metascore,Rank,Genre,ESRB_Rating,Platform,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,url,img_url
537,Margot's Word Brain,3-Nov-08,2.99,"0-20,000",Slam Productions Ltd,Funbox Media Ltd,0.0,0.0,,13685,Puzzle,E10,DS,,,,0.07,0.07,0.0,,0.01,2008.0,http://www.vgchartz.com/game/19973/margots-word-brain/?region=All,/games/boxart/full_2321527AmericaFrontccc.jpg
538,Luxor,10-Jun-08,9.99,"0-20,000",MumboJumbo,MumboJumbo,0.0,0.0,,36519,Puzzle,E,PC,,,,,,,,,2005.0,http://www.vgchartz.com/game/40974/luxor/?region=All,/games/boxart/full_74799AmericaFrontccc.jpg
539,Guild Wars Trilogy,25-Sep-08,29.99,"0-20,000",ArenaNet®,NCsoft,0.0,0.0,,15358,Role-Playing,T,PC,,,,0.05,0.0,0.04,,0.01,2005.0,http://www.vgchartz.com/game/42604/guild-wars-trilogy/?region=All,/games/boxart/full_656378AmericaFrontccc.jpg
540,The Royal Marines Commando,15-Nov-08,0.99,"0-20,000",City Interactive S.A.,City Interactive S.A.,0.0,0.0,,48737,Shooter,,PC,,,,,,,,,2008.0,http://www.vgchartz.com/game/33768/the-royal-marines-commando/?region=All,/games/boxart/full_152510PALFrontccc.jpg
541,Aces of the Galaxy,4-Jun-08,9.99,"0-20,000",Artech Studios,Activision,0.0,0.0,,21786,Shooter,,XBL,7.8,,,,,,,,2008.0,http://www.vgchartz.com/game/23069/aces-of-the-galaxy/?region=All,/games/boxart/full_7931778AmericaFrontccc.jpg
542,Aces of the Galaxy,4-Jun-08,9.99,"0-20,000",Artech Studios,Activision,0.0,0.0,,21787,Shooter,E10,PC,7.5,,,,,,,,2008.0,http://www.vgchartz.com/game/28651/aces-of-the-galaxy/?region=All,/games/boxart/full_aces-of-the-galaxy_391AmericaFront.jpg
543,Brain Spa,10-Oct-08,9.99,"0-20,000",Ubisoft,Ubisoft,0.0,0.0,,25230,Puzzle,,PC,,,,,,,,,2007.0,http://www.vgchartz.com/game/27718/brain-spa/?region=All,/games/boxart/full_2364104AmericaFrontccc.jpg
544,Exodus from the Earth,24-Oct-08,14.99,"0-20,000",Parallax Arts Studio,Strategy First,0.0,0.0,,30195,Shooter,M,PC,,,,,,,,,2008.0,http://www.vgchartz.com/game/25360/exodus-from-the-earth/?region=All,/games/boxart/full_9815799AmericaFrontccc.jpg
545,Left 4 Dead 2,16-Nov-09,9.99,"10,000,000-20,000,000",Valve,Valve,131.0,73.0,89.0,382,Shooter,M,X360,9.0,,,3.97,2.67,0.88,0.05,0.38,2009.0,http://www.vgchartz.com/game/35020/left-4-dead-2/?region=All,/games/boxart/full_2455613AmericaFrontccc.jpg
546,Left 4 Dead 2,16-Nov-09,9.99,"10,000,000-20,000,000",Valve,Valve,131.0,73.0,89.0,5932,Shooter,M,PC,9.0,,,0.36,,0.32,,0.04,2009.0,http://www.vgchartz.com/game/35022/left-4-dead-2/?region=All,/games/boxart/full_3774577AmericaFrontccc.jpg
547,Left 4 Dead 2,16-Nov-09,9.99,"10,000,000-20,000,000",Valve,Valve,131.0,73.0,89.0,35970,Misc,,OSX,,,,,,,,,2010.0,http://www.vgchartz.com/game/71664/left-4-dead-2/?region=All,/games/boxart/full_4704832AmericaFrontccc.jpg
548,Call of Duty: Modern Warfare 2,12-Nov-09,19.99,"5,000,000-10,000,000",Infinity Ward,Activision,227.0,75.0,86.0,50,Shooter,M,X360,9.5,9.0,,13.53,8.54,3.63,0.08,1.28,2009.0,http://www.vgchartz.com/game/28848/call-of-duty-modern-warfare-2/?region=All,/games/boxart/full_809251AmericaFrontccc.jpg
549,Call of Duty: Modern Warfare 2,12-Nov-09,19.99,"5,000,000-10,000,000",Infinity Ward,Activision,227.0,75.0,86.0,79,Shooter,M,PS3,9.5,,,10.61,4.99,3.66,0.38,1.59,2009.0,http://www.vgchartz.com/game/28847/call-of-duty-modern-warfare-2/?region=All,/games/boxart/full_call-of-duty-modern-warfare-2_1AmericaFront.jpg
550,Call of Duty: Modern Warfare 2,12-Nov-09,19.99,"5,000,000-10,000,000",Infinity Ward,Activision,227.0,75.0,86.0,2734,Shooter,M,PC,9.0,,,0.88,0.01,0.79,,0.08,2009.0,http://www.vgchartz.com/game/28849/call-of-duty-modern-warfare-2/?region=All,/games/boxart/full_4227124AmericaFrontccc.jpg
551,Call of Duty: Modern Warfare 2,12-Nov-09,19.99,"5,000,000-10,000,000",Infinity Ward,Activision,227.0,75.0,86.0,25730,Shooter,M,XBL,,,,,,,,,2011.0,http://www.vgchartz.com/game/50207/call-of-duty-modern-warfare-2/?region=All,/games/boxart/full_call-of-duty-6_631AmericaFront.jpg
552,Call of Duty: Modern Warfare 2,12-Nov-09,19.99,"5,000,000-10,000,000",Infinity Ward,Activision,227.0,75.0,86.0,25731,Shooter,,PSN,,,,,,,,,2011.0,http://www.vgchartz.com/game/70251/call-of-duty-modern-warfare-2/?region=All,/games/boxart/full_call-of-duty-modern-warfare-2_719AmericaFront.jpg
553,Killing Floor,14-May-09,19.99,"5,000,000-10,000,000",Tripwire Interactive,Tripwire Interactive,84.0,28.0,72.0,35328,Shooter,,PC,7.5,,,,,,,,2009.0,http://www.vgchartz.com/game/34622/killing-floor/?region=All,/games/boxart/full_4148619AmericaFrontccc.jpg
554,Fallout 3: Game of the Year Edition,17-Dec-09,19.99,"2,000,000-5,000,000",Bethesda Game Studios,Bethesda Softworks,0.0,0.0,91.0,18863,Role-Playing,M,PC,,,,0.01,,0.01,,0.0,2009.0,http://www.vgchartz.com/game/34654/fallout-3-game-of-the-year-edition/?region=All,/games/boxart/full_577406AmericaFrontccc.jpg
555,Fallout 3: Game of the Year Edition,17-Dec-09,19.99,"2,000,000-5,000,000",Bethesda Game Studios,Bethesda Softworks,0.0,0.0,91.0,30409,Role-Playing,M,PS3,,,,,,,,,2009.0,http://www.vgchartz.com/game/34655/fallout-3-game-of-the-year-edition/?region=All,/games/boxart/full_1696693AmericaFrontccc.jpg
556,Fallout 3: Game of the Year Edition,17-Dec-09,19.99,"2,000,000-5,000,000",Bethesda Game Studios,Bethesda Softworks,0.0,0.0,91.0,30410,Role-Playing,M,X360,,,,,,,,,2009.0,http://www.vgchartz.com/game/34656/fallout-3-game-of-the-year-edition/?region=All,/games/boxart/full_5423889AmericaFrontccc.jpg
557,Burnout Paradise: The Ultimate Box,12-Mar-09,19.99,"2,000,000-5,000,000",Criterion Games,Electronic Arts,0.0,0.0,87.0,12769,Racing,E10,PC,,,,0.09,,0.09,,0.01,2009.0,http://www.vgchartz.com/game/21857/burnout-paradise-the-ultimate-box/?region=All,/games/boxart/full_272667AmericaFrontccc.jpg
558,Burnout Paradise: The Ultimate Box,12-Mar-09,19.99,"2,000,000-5,000,000",Criterion Games,Electronic Arts,0.0,0.0,87.0,13809,Racing,,PS3,9.0,,,0.07,,0.05,0.01,0.01,2009.0,http://www.vgchartz.com/game/31686/burnout-paradise-the-ultimate-box/?region=All,/games/boxart/full_4724064PALFrontccc.jpg
559,Burnout Paradise: The Ultimate Box,12-Mar-09,19.99,"2,000,000-5,000,000",Criterion Games,Electronic Arts,0.0,0.0,87.0,16319,Racing,,X360,,,,0.03,,0.03,0.0,0.0,2009.0,http://www.vgchartz.com/game/32120/burnout-paradise-the-ultimate-box/?region=All,/games/boxart/full_8655468PALFrontccc.jpg
560,"Warhammer 40,000: Dawn of War II",18-Feb-09,4.99,"2,000,000-5,000,000","Relic Entertainment, Feral Interactive (Mac/Linux)","SEGA, Feral Interactive (Mac/Linux)",31.0,10.0,85.0,4823,Strategy,M,PC,8.7,,,0.47,,0.45,,0.01,2009.0,http://www.vgchartz.com/game/20078/warhammer-40000-dawn-of-war-ii/?region=All,/games/boxart/full_3164133AmericaFrontccc.jpg
561,Mirror's Edge,14-Jan-09,19.99,"2,000,000-5,000,000",DICE,Electronic Arts,93.0,31.0,81.0,2013,Platform,T,X360,7.6,,,1.16,0.51,0.51,0.01,0.12,2008.0,http://www.vgchartz.com/game/21686/mirrors-edge/?region=All,/games/boxart/full_9393461AmericaFrontccc.jpg
562,Mirror's Edge,14-Jan-09,19.99,"2,000,000-5,000,000",DICE,Electronic Arts,93.0,31.0,81.0,2082,Platform,T,PS3,7.7,8.2,,1.13,0.31,0.59,0.02,0.21,2008.0,http://www.vgchartz.com/game/21685/mirrors-edge/?region=All,/games/boxart/full_3564523AmericaFrontccc.jpg
563,Mirror's Edge,14-Jan-09,19.99,"2,000,000-5,000,000",DICE,Electronic Arts,93.0,31.0,81.0,14931,Platform,T,PC,,,,0.05,,0.05,,0.01,2009.0,http://www.vgchartz.com/game/21687/mirrors-edge/?region=All,/games/boxart/full_4677307AmericaFrontccc.jpg
564,Mirror's Edge,14-Jan-09,19.99,"2,000,000-5,000,000",DICE,Electronic Arts,93.0,31.0,81.0,38053,Action,T,XBL,,,,,,,,,2010.0,http://www.vgchartz.com/game/45814/mirrors-edge/?region=All,/games/boxart/full_mirrors-edge_4AmericaFront.jpg
565,Saints Row 2,28-Jan-09,9.99,"2,000,000-5,000,000",Volition,Deep Silver,0.0,0.0,72.0,542,Action,M,X360,7.9,,,3.07,1.98,0.79,0.02,0.28,2008.0,http://www.vgchartz.com/game/13813/saints-row-2/?region=All,/games/boxart/full_2141889AmericaFrontccc.jpg
566,Saints Row 2,28-Jan-09,9.99,"2,000,000-5,000,000",Volition,Deep Silver,0.0,0.0,72.0,1272,Action,M,PS3,7.9,,,1.68,0.88,0.54,0.02,0.24,2008.0,http://www.vgchartz.com/game/18669/saints-row-2/?region=All,/games/boxart/full_5633056AmericaFrontccc.jpg
567,Saints Row 2,28-Jan-09,9.99,"2,000,000-5,000,000",Volition,Deep Silver,0.0,0.0,72.0,16240,Action,M,PC,6.6,,,0.04,,0.03,,0.01,2009.0,http://www.vgchartz.com/game/19892/saints-row-2/?region=All,/games/boxart/full_6259631AmericaFrontccc.jpg
568,Saints Row 2,28-Jan-09,9.99,"2,000,000-5,000,000",Volition,Deep Silver,0.0,0.0,72.0,43522,Action,M,XBL,,,,,,,,,2009.0,http://www.vgchartz.com/game/41076/saints-row-2/?region=All,/games/boxart/full_2959484AmericaFrontccc.jpg
569,Saints Row 2,28-Jan-09,9.99,"2,000,000-5,000,000",Volition,Deep Silver,0.0,0.0,72.0,43523,Action,,PSN,8.3,,,,,,,,2011.0,http://www.vgchartz.com/game/67634/saints-row-2/?region=All,/games/boxart/full_saints-row-2_486America.jpg
570,Company of Heroes: Tales of Valor,8-Apr-09,19.99,"2,000,000-5,000,000",Relic Entertainment,SEGA,0.0,0.0,70.0,15891,Strategy,,PC,,,,0.04,,0.03,,0.01,2009.0,http://www.vgchartz.com/game/32378/company-of-heroes-tales-of-valor/?region=All,/games/boxart/full_3143716AmericaFrontccc.jpg
571,Braid,10-Apr-09,14.99,"1,000,000-2,000,000",Number None,Number None,0.0,0.0,90.0,2366,Platform,E10,PC,8.8,,1.01,,,,,,2009.0,http://www.vgchartz.com/game/25237/braid/?region=All,/games/boxart/7196302ccc.jpg
572,Braid,10-Apr-09,14.99,"1,000,000-2,000,000",Number None,Number None,0.0,0.0,90.0,25206,Platform,E10,XBL,9.4,,,,,,,,2008.0,http://www.vgchartz.com/game/25236/braid/?region=All,/games/boxart/full_2237968AmericaFrontccc.jpg
573,Braid,10-Apr-09,14.99,"1,000,000-2,000,000",Number None,Number None,0.0,0.0,90.0,25207,Platform,E10,PSN,9.3,,,,,,,,2009.0,http://www.vgchartz.com/game/37017/braid/?region=All,/games/boxart/full_braid_2AmericaFront.jpg
574,The Elder Scrolls III: Morrowind Game of the Year Edition,16-Jun-09,14.99,"1,000,000-2,000,000",Bethesda Game Studios,Bethesda Softworks,207.0,69.0,89.0,2342,Role-Playing,T,XB,8.3,,,1.03,0.77,0.22,,0.04,2003.0,http://www.vgchartz.com/game/34831/the-elder-scrolls-iii-morrowind-game-of-the-year-edition/?region=All,/games/boxart/full_4765395AmericaFrontccc.jpg
575,The Elder Scrolls III: Morrowind Game of the Year Edition,16-Jun-09,14.99,"1,000,000-2,000,000",Bethesda Game Studios,Bethesda Softworks,207.0,69.0,89.0,20253,Role-Playing,T,PC,,,,0.0,,0.0,,0.0,2003.0,http://www.vgchartz.com/game/37631/the-elder-scrolls-iii-morrowind-game-of-the-year-edition/?region=All,/games/boxart/full_538960AmericaFrontccc.jpg
576,Torchlight,27-Oct-09,14.99,"1,000,000-2,000,000",Runic Games,Runic Games,0.0,0.0,83.0,13758,Role-Playing,T,PC,8.4,,,0.07,,0.06,,0.01,2009.0,http://www.vgchartz.com/game/38915/torchlight/?region=All,/games/boxart/full_torchlight_4AmericaFront.jpg
577,Torchlight,27-Oct-09,14.99,"1,000,000-2,000,000",Runic Games,Runic Games,0.0,0.0,83.0,49585,Role-Playing,T,XBL,8.4,,,,,,,,2011.0,http://www.vgchartz.com/game/49589/torchlight/?region=All,/games/boxart/full_torchlight_430AmericaFront.jpg
578,Overlord,12-Nov-09,4.99,"1,000,000-2,000,000","Triumph Studios, Virtual Programming",Codemasters,0.0,0.0,81.0,5475,Adventure,T,X360,7.7,,,0.4,0.34,0.03,0.01,0.03,2007.0,http://www.vgchartz.com/game/6823/overlord/?region=All,/games/boxart/357309ccc.jpg
579,Overlord,12-Nov-09,4.99,"1,000,000-2,000,000","Triumph Studios, Virtual Programming",Codemasters,0.0,0.0,81.0,17704,Adventure,T,PC,,,,0.02,,0.02,,0.0,2007.0,http://www.vgchartz.com/game/13073/overlord/?region=All,/games/boxart/full_8408467AmericaFrontccc.jpg
580,Overlord,12-Nov-09,4.99,"1,000,000-2,000,000","Triumph Studios, Virtual Programming",Codemasters,0.0,0.0,81.0,40247,Strategy,,NES,,,,,,,,,1993.0,http://www.vgchartz.com/game/18888/overlord/?region=All,/games/boxart/full_5982946AmericaFrontccc.jpg
581,Trine Enchanted Edition,2-Jul-09,2.24,"1,000,000-2,000,000",Frozenbyte,Frozenbyte,0.0,0.0,80.0,49891,Action,,WiiU,,,,,,,,,2015.0,http://www.vgchartz.com/game/85370/trine-enchanted-edition/?region=All,/games/boxart/full_1635977AmericaFrontccc.png
582,Trine Enchanted Edition,2-Jul-09,2.24,"1,000,000-2,000,000",Frozenbyte,Frozenbyte,0.0,0.0,80.0,55505,Action,,PS4,,,,,,,,,2014.0,http://www.vgchartz.com/game/222699/trine-enchanted-edition/?region=All,/games/boxart/full_482633AmericaFrontccc.jpg
583,Trine Enchanted Edition,2-Jul-09,2.24,"1,000,000-2,000,000",Frozenbyte,Frozenbyte,0.0,0.0,80.0,55506,Action,,NS,,,,,,,,,2018.0,http://www.vgchartz.com/game/223064/trine-enchanted-edition/?region=All,/games/boxart/full_4063921AmericaFrontccc.jpg
584,Tropico 3,20-Oct-09,9.99,"1,000,000-2,000,000",Haemimont Games,Kalypso Media Digital,0.0,0.0,79.0,8384,Strategy,T,X360,7.7,,,0.22,0.15,0.02,0.03,0.01,2010.0,http://www.vgchartz.com/game/35666/tropico-3/?region=All,/games/boxart/full_6988817AmericaFrontccc.jpg
585,Tropico 3,20-Oct-09,9.99,"1,000,000-2,000,000",Haemimont Games,Kalypso Media Digital,0.0,0.0,79.0,15625,Strategy,T,PC,8.1,,,0.04,,0.04,,0.01,2009.0,http://www.vgchartz.com/game/34534/tropico-3/?region=All,/games/boxart/full_518679AmericaFrontccc.jpg
586,Overlord II,24-Jun-09,9.99,"1,000,000-2,000,000","Triumph Studios, Virtual Programming",Codemasters,0.0,0.0,79.0,6420,Action,T,X360,,,,0.32,0.15,0.14,,0.03,2009.0,http://www.vgchartz.com/game/31608/overlord-ii/?region=All,/games/boxart/full_1615992AmericaFrontccc.jpg
587,Overlord II,24-Jun-09,9.99,"1,000,000-2,000,000","Triumph Studios, Virtual Programming",Codemasters,0.0,0.0,79.0,6505,Action,T,PS3,,,,0.32,0.11,0.15,,0.05,2009.0,http://www.vgchartz.com/game/31606/overlord-ii/?region=All,/games/boxart/full_3848140AmericaFrontccc.jpg
588,Overlord II,24-Jun-09,9.99,"1,000,000-2,000,000","Triumph Studios, Virtual Programming",Codemasters,0.0,0.0,79.0,16659,Action,T,PC,,,,0.03,,0.03,,0.0,2009.0,http://www.vgchartz.com/game/31607/overlord-ii/?region=All,/games/boxart/full_3166757AmericaFrontccc.jpg
589,F.E.A.R. 2: Project Origin,12-Feb-09,14.99,"1,000,000-2,000,000",Monolith,Warner Bros. Interactive Entertainment,0.0,0.0,79.0,4398,Shooter,M,X360,7.9,,,0.52,0.32,0.15,0.0,0.05,2009.0,http://www.vgchartz.com/game/26640/fear-2-project-origin/?region=All,/games/boxart/full_2073728AmericaFrontccc.jpg
590,F.E.A.R. 2: Project Origin,12-Feb-09,14.99,"1,000,000-2,000,000",Monolith,Warner Bros. Interactive Entertainment,0.0,0.0,79.0,4783,Shooter,M,PS3,8.2,,,0.47,0.19,0.2,0.01,0.08,2009.0,http://www.vgchartz.com/game/26639/fear-2-project-origin/?region=All,/games/boxart/full_9519564AmericaFrontccc.jpg
591,F.E.A.R. 2: Project Origin,12-Feb-09,14.99,"1,000,000-2,000,000",Monolith,Warner Bros. Interactive Entertainment,0.0,0.0,79.0,12662,Shooter,M,PC,8.2,8.5,,0.09,0.04,0.05,,0.01,2009.0,http://www.vgchartz.com/game/26638/fear-2-project-origin/?region=All,/games/boxart/full_556780AmericaFrontccc.jpg
592,Champions Online,1-Sep-09,,"1,000,000-2,000,000",Cryptic Studios,Perfect World Entertainment,31.0,10.0,72.0,19221,Role-Playing,T,PC,,,,0.01,,0.01,,0.0,2009.0,http://www.vgchartz.com/game/32001/champions-online/?region=All,/games/boxart/full_2621643AmericaFrontccc.jpg
593,Champions Online,1-Sep-09,,"1,000,000-2,000,000",Cryptic Studios,Perfect World Entertainment,31.0,10.0,72.0,26141,Role-Playing,T,X360,,,,,,,,,1990.0,http://www.vgchartz.com/game/31999/champions-online/?region=All,/games/boxart/default.jpg
594,Champions Online,14-Jun-11,,"1,000,000-2,000,000",Cryptic Studios,Perfect World Entertainment,0.0,0.0,72.0,19221,Role-Playing,T,PC,,,,0.01,,0.01,,0.0,2009.0,http://www.vgchartz.com/game/32001/champions-online/?region=All,/games/boxart/full_2621643AmericaFrontccc.jpg
595,Champions Online,14-Jun-11,,"1,000,000-2,000,000",Cryptic Studios,Perfect World Entertainment,0.0,0.0,72.0,26141,Role-Playing,T,X360,,,,,,,,,1990.0,http://www.vgchartz.com/game/31999/champions-online/?region=All,/games/boxart/default.jpg
596,Serious Sam HD: The First Encounter,24-Nov-09,14.99,"1,000,000-2,000,000",Croteam,Devolver Digital,0.0,0.0,68.0,2344,Shooter,M,PC,6.9,,1.03,,,,,,2009.0,http://www.vgchartz.com/game/37249/serious-sam-hd-the-first-encounter/?region=All,/games/boxart/full_5516490AmericaFrontccc.jpg
597,Serious Sam HD: The First Encounter,24-Nov-09,14.99,"1,000,000-2,000,000",Croteam,Devolver Digital,0.0,0.0,68.0,44134,Shooter,M,XBL,7.0,,,,,,,,2010.0,http://www.vgchartz.com/game/35693/serious-sam-hd-the-first-encounter/?region=All,/games/boxart/full_9851696AmericaFrontccc.jpg
598,Dragon Age: Origins,6-Nov-09,19.99,"500,000-1,000,000",BioWare,Electronic Arts,0.0,0.0,91.0,717,Role-Playing,M,X360,8.5,,,2.56,1.76,0.55,0.03,0.22,2009.0,http://www.vgchartz.com/game/33505/dragon-age-origins/?region=All,/games/boxart/full_9613529AmericaFrontccc.jpg
599,Dragon Age: Origins,6-Nov-09,19.99,"500,000-1,000,000",BioWare,Electronic Arts,0.0,0.0,91.0,1286,Role-Playing,M,PS3,8.7,,,1.67,0.96,0.42,0.08,0.21,2009.0,http://www.vgchartz.com/game/33502/dragon-age-origins/?region=All,/games/boxart/full_3173221AmericaFrontccc.jpg
600,Dragon Age: Origins,6-Nov-09,19.99,"500,000-1,000,000",BioWare,Electronic Arts,0.0,0.0,91.0,4527,Role-Playing,M,PC,9.1,,,0.5,,0.46,,0.04,2009.0,http://www.vgchartz.com/game/33504/dragon-age-origins/?region=All,/games/boxart/full_5223684AmericaFrontccc.jpg
601,Dragon Age: Origins,6-Nov-09,19.99,"500,000-1,000,000",BioWare,Electronic Arts,0.0,0.0,91.0,29086,Role-Playing,M,PSN,,,,,,,,,2011.0,http://www.vgchartz.com/game/55956/dragon-age-origins/?region=All,/games/boxart/full_dragon-age-origins_588AmericaFront.jpg
602,The Secret of Monkey Island: Special Edition,15-Jul-09,9.99,"500,000-1,000,000",LucasArts,"LucasArts, Lucasfilm, Disney Interactive",0.0,0.0,86.0,48758,Adventure,E10,XBL,8.7,,,,,,,,2009.0,http://www.vgchartz.com/game/35066/the-secret-of-monkey-island-special-edition/?region=All,/games/boxart/full_3276187AmericaFrontccc.jpg
603,The Secret of Monkey Island: Special Edition,15-Jul-09,9.99,"500,000-1,000,000",LucasArts,"LucasArts, Lucasfilm, Disney Interactive",0.0,0.0,86.0,48759,Adventure,E10,PC,,,,,,,,,2009.0,http://www.vgchartz.com/game/35067/the-secret-of-monkey-island-special-edition/?region=All,/games/boxart/full_9780909AmericaFrontccc.jpg
604,The Secret of Monkey Island: Special Edition,15-Jul-09,9.99,"500,000-1,000,000",LucasArts,"LucasArts, Lucasfilm, Disney Interactive",0.0,0.0,86.0,48760,Adventure,E10,PSN,,,,,,,,,2010.0,http://www.vgchartz.com/game/43971/the-secret-of-monkey-island-special-edition/?region=All,/games/boxart/full_the-secret-of-monkey-island-special-edition_0AmericaFront.jpg
605,Machinarium,16-Oct-09,9.99,"500,000-1,000,000",Amanita Design,Amanita Design,0.0,0.0,85.0,3796,Adventure,E,PC,8.0,,0.61,,,,,,2009.0,http://www.vgchartz.com/game/37361/machinarium/?region=All,/games/boxart/full_machinarium_12PALFront.jpg
606,Machinarium,16-Oct-09,9.99,"500,000-1,000,000",Amanita Design,Amanita Design,0.0,0.0,85.0,36568,Adventure,,PSN,,,,,,,,,2008.0,http://www.vgchartz.com/game/50702/machinarium/?region=All,/games/boxart/default.jpg
607,Command & Conquer 3: Tiberium Wars,13-Nov-09,14.99,"500,000-1,000,000",EA Los Angeles,Electronic Arts,141.0,47.0,85.0,5256,Strategy,T,X360,7.6,,,0.42,0.35,0.04,,0.03,2007.0,http://www.vgchartz.com/game/6058/command-amp-conquer-3-tiberium-wars/?region=All,/games/boxart/3513609ccc.jpg
