game,release_date,price,owners,developer,publisher,average_playtime,median_playtime,Rank,Genre,ESRB_Rating,Platform,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,url,img_url,metascore,userscore
Akaneiro: Demon Hunters,25-Nov-14,,"50,000-100,000",Spicy Horse,Spicy Horse,0,0,22217,Role-Playing,,PC,,,,,,,,,2013,http://www.vgchartz.com/game/72315/akaneiro-demon-hunters/?region=All,/games/boxart/full_5466711AmericaFrontccc.jpg,53,6.5
Akaneiro: Demon Hunters,25-Nov-14,,"50,000-100,000",Spicy Horse,Spicy Horse,0,0,22218,Misc,,PC,,,,,,,,,2013,http://www.vgchartz.com/game/72316/akaneiro-demon-hunters/?region=All,/games/boxart/default.jpg,53,6.5
Al Emmo and the Lost Dutchman's Mine,5-Sep-06,9.99,"0-20,000",Himalaya Studios,Himalaya Studios,0,0,22249,Misc,,PC,,,,,,,,,2006,http://www.vgchartz.com/game/82033/al-emmo-and-the-lost-dutchmans-mine/?region=All,/games/boxart/default.jpg,77,7.5
Alan Wake,16-Feb-12,14.99,"2,000,000-5,000,000",Remedy Entertainment,Remedy Entertainment,4106,1368,1148,Action,,PC,,,1.8,,,,,,2012,http://www.vgchartz.com/game/13818/alan-wake/?region=All,/games/boxart/full_alan-wake_126PALFront.jpg,83,8
Alan Wake,16-Feb-12,14.99,"2,000,000-5,000,000",Remedy Entertainment,Remedy Entertainment,4106,1368,1721,Action,T,X360,8.3,,,1.33,0.66,0.5,0.05,0.12,2010,http://www.vgchartz.com/game/13817/alan-wake/?region=All,/games/boxart/full_1170189AmericaFrontccc.jpg,83,8.1
Alan Wake's American Nightmare,22-May-12,8.99,"1,000,000-2,000,000",Remedy Entertainment,Remedy Entertainment,0,0,4409,Misc,,PC,,,0.52,,,,,,2012,http://www.vgchartz.com/game/75774/alan-wakes-american-nightmare/?region=All,/games/boxart/full_7319339AmericaFrontccc.jpg,73,6.7
Alekhine's Gun,11-Mar-16,39.99,"20,000-50,000",Maximum Games,"Maximum Games, KISS ltd",0,0,22276,Action,M,PS4,,,,,,,,,2016,http://www.vgchartz.com/game/86453/alekhines-gun/?region=All,/games/boxart/full_3253372AmericaFrontccc.jpg,36,3.8
Alekhine's Gun,11-Mar-16,39.99,"20,000-50,000",Maximum Games,"Maximum Games, KISS ltd",0,0,22277,Action,M,PC,,,,,,,,,2016,http://www.vgchartz.com/game/86454/alekhines-gun/?region=All,/games/boxart/full_4352697AmericaFrontccc.jpg,40,4.7
Alien Breed 3: Descent,17-Nov-10,9.99,"200,000-500,000",Team17 Digital Ltd,Team17 Digital Ltd,0,0,22339,Shooter,T,PC,6.8,,,,,,,,2010,http://www.vgchartz.com/game/48885/alien-breed-3-descent/?region=All,/games/boxart/full_alien-breed-3-descent_668AmericaFront.jpg,64,5.1
Alien Breed: Impact,3-Jun-10,9.99,"200,000-500,000",Team17 Software Ltd.,Team17 Digital Ltd,0,0,8812,Shooter,T,PC,,,0.2,,,,,,2010,http://www.vgchartz.com/game/45527/alien-breed-impact/?region=All,/games/boxart/full_alien-breed-impact_410AmericaFront.jpg,64,6.1
Alien Spidy,20-Mar-13,9.99,"20,000-50,000",Enigma SP,Kalypso Media Digital,0,0,22380,Misc,,X360,,,,,,,,,2013,http://www.vgchartz.com/game/71570/alien-spidy/?region=All,/games/boxart/default.jpg,55,4.3
Alien Swarm,19-Jul-10,,"2,000,000-5,000,000",Valve,Valve,4901,1633,22387,Shooter,,PC,8.5,,,,,,,,2010,http://www.vgchartz.com/game/46215/alien-swarm/?region=All,/games/boxart/full_alien-swarm_3AmericaFront.jpg,77,8.2
Alien: Isolation,6-Oct-14,39.99,"1,000,000-2,000,000","Creative Assembly, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",0,0,2195,Adventure,M,PS4,,,,1.09,0.29,0.59,0.05,0.16,2014,http://www.vgchartz.com/game/77802/alien-isolation/?region=All,/games/boxart/full_5150679AmericaFrontccc.jpg,79,8.2
Alien: Isolation,6-Oct-14,39.99,"1,000,000-2,000,000","Creative Assembly, Feral Interactive (Mac), Feral Interactive (Linux)","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",0,0,10514,Adventure,M,PC,,,,0.14,,0.14,,0.01,2014,http://www.vgchartz.com/game/80561/alien-isolation/?region=All,/games/boxart/full_3657297PALFrontccc.jpg,81,8.4
All-Star Fruit Racing,13-Jul-18,24.99,"0-20,000",3DClouds,PQube Limited,0,0,16657,Racing,E,PS4,,,,0.03,0.03,,,0.01,2018,http://www.vgchartz.com/game/222054/all-star-fruit-racing/?region=All,/games/boxart/full_9484258AmericaFrontccc.jpg,60,3.3
Alone in the Dark: Illumination,11-Jun-15,19.99,"0-20,000",Pure FPS,THQ Nordic,0,0,22478,Shooter,,PC,,,,,,,,,2015,http://www.vgchartz.com/game/84383/alone-in-the-dark-illumination/?region=All,/games/boxart/full_963079AmericaFrontccc.jpg,19,1.2
Alone in the Dark: The New Nightmare,29-Oct-13,6.99,"20,000-50,000","Darkworks, Spiral House",THQ Nordic,0,0,9939,Adventure,M,PS,7.2,,,0.16,0.09,0.06,,0.01,2001,http://www.vgchartz.com/game/23687/alone-in-the-dark-the-new-nightmare/?region=All,/games/boxart/763828ccc.jpg,77,8.2
Alone in the Dark: The New Nightmare,29-Oct-13,6.99,"20,000-50,000","Darkworks, Spiral House",THQ Nordic,0,0,20938,Adventure,M,PC,,,,0,,0,,0,2001,http://www.vgchartz.com/game/23686/alone-in-the-dark-the-new-nightmare/?region=All,/games/boxart/9739332ccc.jpg,66,7.7
Alone in the Dark: The New Nightmare,29-Oct-13,6.99,"20,000-50,000","Darkworks, Spiral House",THQ Nordic,0,0,22482,Adventure,M,DC,7.4,,,,,,,,2001,http://www.vgchartz.com/game/25158/alone-in-the-dark-the-new-nightmare/?region=All,/games/boxart/full_alone-in-the-dark-the-new-nightmare_3AmericaFront.jpg,75,7.8
Alone With You,9-Feb-17,9.99,"0-20,000",Benjamin Rivers Inc.,Benjamin Rivers Inc.,0,0,22486,Adventure,T,PS4,,,,,,,,,2016,http://www.vgchartz.com/game/84508/alone-with-you/?region=All,/games/boxart/full_7333795PALFrontccc.jpg,72,6.8
Alpha Prime,7-Nov-07,4.99,"200,000-500,000",Black Element,Bohemia Interactive,0,0,20466,Shooter,,PC,,,,0,,0,,0,2007,http://www.vgchartz.com/game/27043/alpha-prime/?region=All,/games/boxart/full_8256090AmericaFrontccc.jpg,59,6
Alpha Protocol,1-Jun-10,,"500,000-1,000,000",Obsidian Entertainment,SEGA,44,14,5197,Role-Playing,M,PS3,,,,0.43,0.19,0.17,,0.07,2010,http://www.vgchartz.com/game/29293/alpha-protocol/?region=All,/games/boxart/full_9386928AmericaFrontccc.jpg,64,7
Alpha Protocol,1-Jun-10,,"500,000-1,000,000",Obsidian Entertainment,SEGA,44,14,5599,Role-Playing,M,X360,6.8,,,0.39,0.23,0.13,,0.04,2010,http://www.vgchartz.com/game/18474/alpha-protocol/?region=All,/games/boxart/full_5392830AmericaFrontccc.jpg,63,7.2
Alpha Protocol,1-Jun-10,,"500,000-1,000,000",Obsidian Entertainment,SEGA,44,14,16444,Role-Playing,M,PC,,,,0.03,,0.03,,0.01,2010,http://www.vgchartz.com/game/29906/alpha-protocol/?region=All,/games/boxart/full_9120200AmericaFrontccc.jpg,72,7.5
Always Sometimes Monsters,21-May-14,9.99,"200,000-500,000",Vagabond Dog,Devolver Digital,0,0,8619,Misc,,PC,,,0.21,,,,,,2014,http://www.vgchartz.com/game/82544/always-sometimes-monsters/?region=All,/games/boxart/full_5220666AmericaFrontccc.jpg,73,7.2
American Truck Simulator,2-Feb-16,19.99,"1,000,000-2,000,000",SCS Software,SCS Software,449,390,12814,Simulation,E,PC,,,,0.09,,0.09,,0.01,2016,http://www.vgchartz.com/game/84580/american-truck-simulator/?region=All,/games/boxart/full_1272246AmericaFrontccc.jpg,76,6.7
