,game,release_date,Platform,Genre,developer,owners,publisher,price,Rank,average_playtime,median_playtime,metascore_x,Year,metascore_y,userscore
76,BloodRayne 2,14-Sep-06,PS2,Shooter,Terminal Reality,"50,000-100,000",Majesco Entertainment,9.99,7267,0.0,0.0,67.0,2004.0,70,8.5
77,BloodRayne 2,14-Sep-06,PC,Shooter,Terminal Reality,"50,000-100,000",Majesco Entertainment,9.99,24853,0.0,0.0,67.0,2005.0,67,7.6
78,BloodRayne,14-Sep-06,PS2,Shooter,Terminal Reality,"50,000-100,000",Majesco Entertainment,9.99,5322,0.0,0.0,65.0,2002.0,75,8.3
79,BloodRayne,14-Sep-06,GC,Shooter,Terminal Reality,"50,000-100,000",Majesco Entertainment,9.99,11799,0.0,0.0,65.0,2002.0,73,8.5
80,BloodRayne,14-Sep-06,PC,Shooter,Terminal Reality,"50,000-100,000",Majesco Entertainment,9.99,20771,0.0,0.0,65.0,2003.0,65,7.7
81,Guilty Gear Isuka,20-Jun-06,PS2,Fighting,Arc System Works,"50,000-100,000",Arc System Works,9.99,12583,0.0,0.0,,2004.0,73,7.5
82,Xpand Rally,24-Aug-06,PC,Racing,Techland,"20,000-50,000",Techland,4.99,52012,0.0,0.0,82.0,2006.0,82,7.5
83,RoboBlitz,7-Nov-06,PC,Shooter,Naked Sky Entertainment,"20,000-50,000",Naked Sky Entertainment,9.99,43057,0.0,0.0,80.0,2006.0,80,8.1
84,Perimeter: Emperor's Testament,29-Aug-06,PC,Strategy,K-D Lab,"20,000-50,000",1C Entertainment,3.99,40676,0.0,0.0,72.0,2006.0,72,tbd
85,MX vs. ATV Unleashed,16-Jan-06,PS2,Racing,Rainbow Studios,"20,000-50,000",THQ Nordic,9.99,2327,0.0,0.0,71.0,2005.0,79,8.5
86,MX vs. ATV Unleashed,16-Jan-06,PC,Racing,Rainbow Studios,"20,000-50,000",THQ Nordic,9.99,38686,0.0,0.0,71.0,2006.0,71,7.3
87,Faces of War,8-Sep-06,PC,Strategy,Best Way,"20,000-50,000",1C Entertainment,4.99,19989,0.0,0.0,67.0,2006.0,67,8.5
88,Shattered Union,25-Oct-06,PC,Strategy,PopTop,"20,000-50,000",2K,4.99,20964,0.0,0.0,67.0,2005.0,67,6.3
89,Al Emmo and the Lost Dutchman's Mine,5-Sep-06,PC,Misc,Himalaya Studios,"0-20,000",Himalaya Studios,9.99,22249,0.0,0.0,77.0,2006.0,77,7.5
90,Brigade E5: New Jagged Union,17-Oct-06,PC,Misc,Apeiron,"0-20,000",1C Entertainment,3.99,25345,0.0,0.0,41.0,2006.0,41,6.8
91,Barrow Hill: Curse of the Ancient Circle,5-Oct-06,PC,Adventure,Shadow Tor Studios,"0-20,000",Iceberg Interactive,7.99,20178,0.0,0.0,,2006.0,65,7.5
92,Disney's Chicken Little: Ace in Action,7-Dec-06,PS2,Shooter,Avalanche Software,"0-20,000",Disney Interactive,19.99,28581,0.0,0.0,,2006.0,69,tbd
94,Portal,10-Oct-07,PC,Shooter,Valve,"10,000,000-20,000,000",Valve,9.99,89,69.0,24.0,90.0,2008.0,90,9.2
95,Half-Life 2: Episode Two,10-Oct-07,PC,Shooter,Valve,"5,000,000-10,000,000",Valve,7.99,500,15.0,5.0,90.0,2007.0,90,9.1
96,BioShock,21-Aug-07,X360,Shooter,"2K Boston, 2K Australia","2,000,000-5,000,000",2K,19.99,622,0.0,0.0,96.0,2007.0,96,8.9
97,BioShock,21-Aug-07,PS3,Shooter,"2K Boston, 2K Australia","2,000,000-5,000,000",2K,19.99,1565,0.0,0.0,96.0,2008.0,94,8.7
98,BioShock,21-Aug-07,PC,Shooter,"2K Boston, 2K Australia","2,000,000-5,000,000",2K,19.99,1794,0.0,0.0,96.0,2007.0,96,8.5
99,Company of Heroes: Opposing Fronts,24-Sep-07,PC,Strategy,Relic Entertainment,"2,000,000-5,000,000",SEGA,19.99,15960,0.0,0.0,87.0,2007.0,87,8.6
100,Call of Duty 4: Modern Warfare,12-Nov-07,X360,Shooter,Infinity Ward,"1,000,000-2,000,000",Activision,19.99,95,0.0,0.0,92.0,2007.0,94,8.5
101,Call of Duty 4: Modern Warfare,12-Nov-07,PS3,Shooter,Infinity Ward,"1,000,000-2,000,000",Activision,19.99,153,0.0,0.0,92.0,2007.0,94,8.4
102,Call of Duty 4: Modern Warfare,12-Nov-07,PC,Shooter,Infinity Ward,"1,000,000-2,000,000",Activision,19.99,2047,0.0,0.0,92.0,2007.0,92,8.5
103,Call of Duty 4: Modern Warfare,12-Nov-07,DS,Shooter,Infinity Ward,"1,000,000-2,000,000",Activision,19.99,2267,0.0,0.0,92.0,2007.0,75,7.2
104,"Warhammer 40,000: Dawn of War - Dark Crusade",7-Aug-07,PC,Strategy,Relic Entertainment,"1,000,000-2,000,000",SEGA,3.24,20316,113.0,37.0,87.0,2006.0,87,8.9
105,Tomb Raider: Anniversary,5-Jun-07,PSP,Action,"Crystal Dynamics, Feral Interactive (Mac)","1,000,000-2,000,000","Square Enix, Feral Interactive (Mac)",8.99,4028,0.0,0.0,83.0,2007.0,78,8.2
106,Tomb Raider: Anniversary,5-Jun-07,X360,Action,"Crystal Dynamics, Feral Interactive (Mac)","1,000,000-2,000,000","Square Enix, Feral Interactive (Mac)",8.99,5562,0.0,0.0,83.0,2007.0,77,8.5
107,Tomb Raider: Anniversary,5-Jun-07,PC,Action,"Crystal Dynamics, Feral Interactive (Mac)","1,000,000-2,000,000","Square Enix, Feral Interactive (Mac)",8.99,16399,0.0,0.0,83.0,2007.0,83,8.1
108,Hitman: Blood Money,15-Mar-07,PS2,Action,Io-Interactive A/S,"1,000,000-2,000,000",Io-Interactive A/S,9.99,4554,0.0,0.0,82.0,2006.0,83,8.5
