,game,release_date,Platform,Genre,developer,owners,publisher,price,Rank,average_playtime,median_playtime,metascore_x,Year,metascore_y,userscore
1055,BattleBlock Theater,15-May-14,PC,Platform,The Behemoth,"2,000,000-5,000,000",The Behemoth,14.99,429,60.0,39.0,85.0,2014.0,85,7.9
1056,This War of Mine,14-Nov-14,PC,Action,11 bit studios,"2,000,000-5,000,000",11 bit studios,19.99,49081,81.0,27.0,83.0,2014.0,83,8.4
1057,Borderlands: The Pre-Sequel,13-Oct-14,X360,Misc,"2K Australia, Gearbox Software, Aspyr (Linux)","2,000,000-5,000,000","2K, Aspyr (Linux)",39.99,3172,445.0,487.0,75.0,2014.0,74,6.3
1058,Borderlands: The Pre-Sequel,13-Oct-14,PS3,Misc,"2K Australia, Gearbox Software, Aspyr (Linux)","2,000,000-5,000,000","2K, Aspyr (Linux)",39.99,3581,445.0,487.0,75.0,2014.0,77,6.3
1059,Borderlands: The Pre-Sequel,13-Oct-14,PC,Misc,"2K Australia, Gearbox Software, Aspyr (Linux)","2,000,000-5,000,000","2K, Aspyr (Linux)",39.99,6413,445.0,487.0,75.0,2014.0,75,6.3
1060,Insurgency,22-Jan-14,PC,Misc,New World Interactive,"2,000,000-5,000,000",New World Interactive,3.74,34248,244.0,294.0,74.0,2014.0,74,8.7
1062,Goat Simulator,1-Apr-14,PC,Misc,Coffee Stain Studios,"2,000,000-5,000,000",Coffee Stain Publishing,9.99,32278,0.0,0.0,62.0,2014.0,62,6.6
1063,South Park: The Stick of Truth,3-Mar-14,PS3,Role-Playing,Obsidian Entertainment,"2,000,000-5,000,000",Ubisoft,29.99,2495,0.0,0.0,,2014.0,85,8.5
1064,South Park: The Stick of Truth,3-Mar-14,X360,Role-Playing,Obsidian Entertainment,"2,000,000-5,000,000",Ubisoft,29.99,2527,0.0,0.0,,2014.0,82,8.5
1065,South Park: The Stick of Truth,3-Mar-14,PC,Role-Playing,Obsidian Entertainment,"2,000,000-5,000,000",Ubisoft,29.99,9008,0.0,0.0,,2014.0,85,8.6
1066,Banished,18-Feb-14,PC,Misc,Shining Rock Software LLC,"2,000,000-5,000,000",Shining Rock Software LLC,19.99,918,0.0,0.0,,2014.0,73,8.2
1067,The Binding of Isaac: Rebirth,4-Nov-14,PC,Action,"Nicalis, Inc.","2,000,000-5,000,000","Nicalis, Inc.",14.99,650,187.0,314.0,,2014.0,86,8.4
1068,The Binding of Isaac: Rebirth,4-Nov-14,PS4,Action,"Nicalis, Inc.","2,000,000-5,000,000","Nicalis, Inc.",14.99,47996,187.0,314.0,,2014.0,88,7.8
1069,The Talos Principle,11-Dec-14,PC,Puzzle,Croteam,"1,000,000-2,000,000","Devolver Digital, Croteam",39.99,2608,0.0,0.0,85.0,2014.0,85,8.5
1070,The Talos Principle,11-Dec-14,PS4,Puzzle,Croteam,"1,000,000-2,000,000","Devolver Digital, Croteam",39.99,15627,0.0,0.0,85.0,2015.0,88,8.2
1071,Assetto Corsa,19-Dec-14,PC,Racing,Kunos Simulazioni,"1,000,000-2,000,000",Kunos Simulazioni,19.99,2898,206.0,137.0,85.0,2014.0,85,8.4
1072,Assetto Corsa,19-Dec-14,PS4,Racing,Kunos Simulazioni,"1,000,000-2,000,000",Kunos Simulazioni,19.99,13510,206.0,137.0,85.0,2016.0,73,6.1
1073,Transistor,20-May-14,PC,Role-Playing,Supergiant Games,"1,000,000-2,000,000",Supergiant Games,19.99,1730,0.0,0.0,83.0,2014.0,83,8.3
1074,Transistor,20-May-14,PS4,Role-Playing,Supergiant Games,"1,000,000-2,000,000",Supergiant Games,19.99,49814,0.0,0.0,83.0,2014.0,83,8.2
1075,Endless Legend,18-Sep-14,PC,Misc,AMPLITUDE Studios,"1,000,000-2,000,000",SEGA,29.99,29905,0.0,0.0,82.0,2014.0,82,7.9
1077,Wolfenstein: The New Order,19-May-14,PC,Shooter,Machine Games,"1,000,000-2,000,000",Bethesda-Soft,19.99,1139,0.0,0.0,81.0,2014.0,81,8.2
1078,Wolfenstein: The New Order,19-May-14,PS4,Shooter,Machine Games,"1,000,000-2,000,000",Bethesda-Soft,19.99,1346,0.0,0.0,81.0,2014.0,79,8.1
1079,Alien: Isolation,6-Oct-14,PS4,Adventure,"Creative Assembly, Feral Interactive (Mac), Feral Interactive (Linux)","1,000,000-2,000,000","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",39.99,2195,0.0,0.0,81.0,2014.0,79,8.2
1080,Alien: Isolation,6-Oct-14,PC,Adventure,"Creative Assembly, Feral Interactive (Mac), Feral Interactive (Linux)","1,000,000-2,000,000","SEGA, Feral Interactive (Mac), Feral Interactive (Linux)",39.99,10514,0.0,0.0,81.0,2014.0,81,8.4
1081,Sid Meier's Civilization: Beyond Earth,23-Oct-14,PC,Simulation,"Firaxis Games, Aspyr (Mac), Aspyr (Linux)","1,000,000-2,000,000","2K, Aspyr (Mac), Aspyr (Linux)",39.99,5493,0.0,0.0,81.0,2014.0,81,5.5
1082,Far Cry 4,18-Nov-14,PS4,Shooter,"Ubisoft Montreal, Red Storm, Shanghai, Toronto, Kiev","1,000,000-2,000,000",Ubisoft,29.99,363,0.0,0.0,80.0,2014.0,85,7.7
1083,Far Cry 4,18-Nov-14,PC,Shooter,"Ubisoft Montreal, Red Storm, Shanghai, Toronto, Kiev","1,000,000-2,000,000",Ubisoft,29.99,3609,0.0,0.0,80.0,2014.0,80,6.8
1084,Tropico 5,23-May-14,PS4,Simulation,Haemimont Games,"1,000,000-2,000,000",Kalypso Media Digital,19.99,5664,0.0,0.0,75.0,2015.0,76,7.1
1085,Tropico 5,23-May-14,PC,Simulation,Haemimont Games,"1,000,000-2,000,000",Kalypso Media Digital,19.99,10845,0.0,0.0,75.0,2015.0,75,7
1086,Call of Duty: Ghosts,25-Mar-14,X360,Shooter,Infinity Ward,"1,000,000-2,000,000",Activision,59.99,82,0.0,0.0,68.0,2013.0,73,2.6
1087,Call of Duty: Ghosts,25-Mar-14,PS3,Shooter,Infinity Ward,"1,000,000-2,000,000",Activision,59.99,84,0.0,0.0,68.0,2013.0,71,2.6
1088,Call of Duty: Ghosts,25-Mar-14,PS4,Shooter,Infinity Ward,"1,000,000-2,000,000",Activision,59.99,344,0.0,0.0,68.0,2013.0,78,3.8
1089,Call of Duty: Ghosts,25-Mar-14,PC,Shooter,Infinity Ward,"1,000,000-2,000,000",Activision,59.99,3471,0.0,0.0,68.0,2013.0,68,2.1
1090,Ryse: Son of Rome,10-Oct-14,PC,Action,Crytek,"1,000,000-2,000,000",Crytek,14.99,2461,0.0,0.0,61.0,2014.0,61,6.7
1091,How to Survive,29-Aug-14,PC,Action,Eko Software,"1,000,000-2,000,000",505 Games,14.99,1453,0.0,0.0,60.0,2013.0,60,7
1092,Sleeping Dogs: Definitive Edition,8-Oct-14,PS4,Action,"United Front Games, Feral Interactive (Mac)","1,000,000-2,000,000","SQUARE ENIX, Feral Interactive (Mac)",19.99,5074,609.0,302.0,,2014.0,77,7.3
1093,Door Kickers,20-Oct-14,PC,Strategy,KillHouse Games,"500,000-1,000,000",KillHouse Games,19.99,4217,16.0,10.0,83.0,2013.0,83,7.7
1094,The Vanishing of Ethan Carter,25-Sep-14,PC,Adventure,The Astronauts,"500,000-1,000,000",The Astronauts,19.99,5737,0.0,0.0,82.0,2014.0,82,8.1
1095,The Vanishing of Ethan Carter,25-Sep-14,PS4,Adventure,The Astronauts,"500,000-1,000,000",The Astronauts,19.99,48968,0.0,0.0,82.0,2015.0,81,7.6
1096,Lethal League,27-Aug-14,PC,Fighting,Team Reptile,"500,000-1,000,000",Team Reptile,13.99,36126,0.0,0.0,82.0,2014.0,82,7.7
1097,Nidhogg,13-Jan-14,PC,Action,Messhof,"500,000-1,000,000",Messhof,9.99,3018,0.0,0.0,81.0,2014.0,81,6.7
1098,The Banner Saga,14-Jan-14,PC,Misc,Stoic,"500,000-1,000,000",Versus Evil,24.99,47959,0.0,0.0,80.0,2014.0,80,8
1099,The Banner Saga,14-Jan-14,PS4,Role-Playing,Stoic,"500,000-1,000,000",Versus Evil,24.99,47961,0.0,0.0,80.0,2016.0,79,7.7
1100,Dungeon of the Endless,27-Oct-14,PC,Misc,AMPLITUDE Studios,"500,000-1,000,000",SEGA,11.99,29463,29.0,9.0,79.0,2013.0,79,7.7
1101,Wargame: Red Dragon,17-Apr-14,PC,Misc,Eugen Systems,"500,000-1,000,000",Focus Home Interactive,29.99,51012,0.0,0.0,78.0,2014.0,78,7.9
1102,Five Nights at Freddy's,18-Aug-14,PC,Adventure,Scott Cawthon,"500,000-1,000,000",Scott Cawthon,4.99,31047,0.0,0.0,78.0,2014.0,78,7.1
1103,Child of Light,29-Apr-14,PS4,Role-Playing,Ubisoft Montréal,"500,000-1,000,000",Ubisoft,14.99,15057,0.0,0.0,77.0,2014.0,82,8
1104,Child of Light,29-Apr-14,PC,Role-Playing,Ubisoft Montréal,"500,000-1,000,000",Ubisoft,14.99,19522,0.0,0.0,77.0,2014.0,77,8.1
1105,Broken Age,28-Jan-14,PC,Adventure,Double Fine Productions,"500,000-1,000,000",Double Fine Productions,14.99,5299,0.0,0.0,73.0,2013.0,76,7
1106,Broken Age,28-Jan-14,PS4,Adventure,Double Fine Productions,"500,000-1,000,000",Double Fine Productions,14.99,25357,0.0,0.0,73.0,2015.0,81,7.3
1107,Styx: Master of Shadows,7-Oct-14,PC,Action,Cyanide Studio,"500,000-1,000,000",Focus Home Interactive,29.99,4682,562.0,187.0,71.0,2014.0,71,7.2
1108,Styx: Master of Shadows,7-Oct-14,PS4,Action,Cyanide Studio,"500,000-1,000,000",Focus Home Interactive,29.99,55104,562.0,187.0,71.0,2014.0,70,6.4
1109,Thief,27-Feb-14,PC,Action,"Eidos-Montréal, Feral Interactive (Mac)","500,000-1,000,000","Square Enix, Feral Interactive (Mac)",19.99,1751,0.0,0.0,70.0,2014.0,70,5.9
1110,Thief,27-Feb-14,PS4,Action,"Eidos-Montréal, Feral Interactive (Mac)","500,000-1,000,000","Square Enix, Feral Interactive (Mac)",19.99,2816,0.0,0.0,70.0,2014.0,67,6.2
1111,Starpoint Gemini 2,26-Sep-14,PC,Strategy,Little Green Men Games,"500,000-1,000,000",Iceberg Interactive,34.99,46360,0.0,0.0,70.0,2014.0,70,8.4
1112,Octodad: Dadliest Catch,30-Jan-14,PC,Misc,Young Horses,"500,000-1,000,000",Young Horses,14.99,3976,0.0,0.0,69.0,2014.0,69,7.6
1113,Octodad: Dadliest Catch,30-Jan-14,PS4,Misc,Young Horses,"500,000-1,000,000",Young Horses,14.99,39811,0.0,0.0,69.0,2014.0,69,6.8
1114,The Evil Within,13-Oct-14,PS4,Action,Tango Gameworks,"500,000-1,000,000",Bethesda Softworks,19.99,1113,0.0,0.0,68.0,2014.0,75,7.5
1115,The Evil Within,13-Oct-14,PC,Misc,Tango Gameworks,"500,000-1,000,000",Bethesda Softworks,19.99,3203,0.0,0.0,68.0,2014.0,68,6.1
1116,Blackguards,22-Jan-14,PC,Misc,Daedalic Entertainment,"500,000-1,000,000",Daedalic Entertainment,9.99,6654,246.0,82.0,68.0,2014.0,68,7.2
1117,Men of War: Assault Squad 2,15-May-14,PC,Strategy,Digitalmindsoft,"500,000-1,000,000",1C Entertainment,29.99,54211,4.0,1.0,68.0,,68,6.2
1118,Murdered: Soul Suspect,3-Jun-14,PC,Action-Adventure,Airtight Games,"500,000-1,000,000",Square Enix,19.99,4459,0.0,0.0,59.0,2014.0,59,7.3
1119,Murdered: Soul Suspect,3-Jun-14,PS4,Action-Adventure,Airtight Games,"500,000-1,000,000",Square Enix,19.99,6310,0.0,0.0,59.0,2014.0,59,6.9
1120,Deus Ex: The Fall,18-Mar-14,PC,Misc,Square Enix,"500,000-1,000,000",Square Enix,9.99,9323,0.0,0.0,45.0,2014.0,45,2.9
1121,Back to Bed,6-Aug-14,PC,Puzzle,Bedtime Digital Games,"500,000-1,000,000",Bedtime Digital Games,5.99,23663,0.0,0.0,,2014.0,57,6
1122,Valkyria Chronicles,11-Nov-14,PS3,Role-Playing,SEGA,"500,000-1,000,000",SEGA,19.99,2426,0.0,0.0,,2008.0,86,8.7
1123,Valkyria Chronicles,11-Nov-14,PC,Role-Playing,SEGA,"500,000-1,000,000",SEGA,19.99,3094,0.0,0.0,,2014.0,85,8.2
1125,Fable Anniversary,12-Sep-14,X360,Role-Playing,Lionhead Studios,"500,000-1,000,000",Xbox Game Studios,34.99,4983,0.0,0.0,,2014.0,68,6.8
1126,Ultra Street Fighter IV,7-Aug-14,PS4,Fighting,Capcom,"500,000-1,000,000",Capcom,29.99,12534,1.0,0.0,,2015.0,71,6.1
1127,Ultra Street Fighter IV,7-Aug-14,PS3,Fighting,Capcom,"500,000-1,000,000",Capcom,29.99,55554,1.0,0.0,,2014.0,83,7.5
1128,Ultra Street Fighter IV,7-Aug-14,X360,Fighting,Capcom,"500,000-1,000,000",Capcom,29.99,55555,1.0,0.0,,2014.0,84,6.9
1129,TowerFall Ascension,11-Mar-14,PC,Platform,Matt Thorson,"200,000-500,000",Matt Makes Games Inc.,14.99,8472,0.0,0.0,87.0,2014.0,87,6.7
1130,The Legend of Heroes: Trails in the Sky,29-Jul-14,PSP,Role-Playing,Nihon Falcom,"200,000-500,000","XSEED Games, Marvelous USA, Inc.",19.99,12591,0.0,0.0,85.0,2011.0,79,8.5
1131,Ultimate General: Gettysburg,16-Oct-14,PC,Strategy,Game-Labs,"200,000-500,000",Game-Labs,14.99,8554,0.0,0.0,84.0,2014.0,84,7.7
1132,Freedom Planet,21-Jul-14,PC,Action,GalaxyTrail,"200,000-500,000",GalaxyTrail,14.99,9657,0.0,0.0,83.0,2014.0,83,8.3
1133,Trials Fusion,24-Apr-14,PS4,Misc,"RedLynx, in collaboration with Ubisoft Shanghai, Ubisoft Kiev","200,000-500,000",Ubisoft,19.99,5165,0.0,0.0,80.0,2014.0,79,7.1
1134,Trials Fusion,24-Apr-14,PC,Misc,"RedLynx, in collaboration with Ubisoft Shanghai, Ubisoft Kiev","200,000-500,000",Ubisoft,19.99,16555,0.0,0.0,80.0,2015.0,80,6.9
1135,LISA,15-Dec-14,PC,Role-Playing,Dingaling,"200,000-500,000","Dingaling Productions, LLC",9.99,6760,0.0,0.0,78.0,1996.0,78,8.7
1136,The Incredible Adventures of Van Helsing II,22-May-14,PC,Action,NeocoreGames,"200,000-500,000",NeocoreGames,14.99,7588,96.0,32.0,77.0,2014.0,77,7.6
1137,Xenonauts,16-Jun-14,PC,Strategy,Goldhawk Interactive,"200,000-500,000",Goldhawk Interactive,24.99,51982,0.0,0.0,77.0,2014.0,77,7.9
1138,Tower of Guns,4-Mar-14,PC,Shooter,Terrible Posture Games,"200,000-500,000",Terrible Posture Games LLC,14.99,55481,0.0,0.0,76.0,,76,7.2
1139,The Fall,30-May-14,PC,Misc,Over The Moon,"200,000-500,000",Over The Moon,9.99,10270,0.0,0.0,76.0,2014.0,76,7.2
1140,Infested Planet,6-Mar-14,PC,Misc,Rocket Bear Games,"200,000-500,000",Rocket Bear Games,14.99,9104,0.0,0.0,75.0,2014.0,75,7.6
1141,Ziggurat,23-Oct-14,PS4,Shooter,Milkstone Studios,"200,000-500,000",Milkstone Studios,14.99,19164,0.0,0.0,75.0,2016.0,80,7
1142,Space Run,13-Jun-14,PC,Misc,Passtech Games,"200,000-500,000",Focus Home Interactive,14.99,9335,0.0,0.0,73.0,2014.0,73,7.6
1143,Always Sometimes Monsters,21-May-14,PC,Misc,Vagabond Dog,"200,000-500,000",Devolver Digital,9.99,8619,0.0,0.0,73.0,2014.0,73,7.2
1144,Screencheat,21-Oct-14,PC,Shooter,Samurai Punk,"200,000-500,000",Samurai Punk,14.99,8401,0.0,0.0,71.0,2013.0,71,7.3
1145,The Crew,1-Dec-14,PS4,Racing,Ivory Tower in collaboration with Ubisoft Reflections,"200,000-500,000",Ubisoft,29.99,1163,0.0,0.0,71.0,2014.0,61,5.3
1146,The Crew,1-Dec-14,PC,Racing,Ivory Tower in collaboration with Ubisoft Reflections,"200,000-500,000",Ubisoft,29.99,10335,0.0,0.0,71.0,2014.0,71,6.3
1147,Halo: Spartan Assault,4-Apr-14,PC,Shooter,"Vanguard Games, 343 Industries","200,000-500,000",Xbox Game Studios,2.99,6030,0.0,0.0,70.0,2013.0,70,6.2
1148,Lumino City,2-Dec-14,PC,Adventure,State of Play Games,"200,000-500,000",State of Play Games,12.99,36490,0.0,0.0,70.0,2015.0,70,7.6
1149,Abyss Odyssey,15-Jul-14,PC,Misc,ACE Team,"200,000-500,000",SEGA,14.99,21750,0.0,0.0,69.0,2014.0,69,7.4
1150,Abyss Odyssey,15-Jul-14,X360,Misc,ACE Team,"200,000-500,000",SEGA,14.99,21751,0.0,0.0,69.0,2014.0,64,6.5
1151,Abyss Odyssey,15-Jul-14,PS3,Misc,ACE Team,"200,000-500,000",SEGA,14.99,21752,0.0,0.0,69.0,2014.0,70,6.2
1153,Hatoful Boyfriend,4-Sep-14,PC,Visual Novel,"Mediatonic, Hato Moa, The Irregular Corporation","200,000-500,000",Devolver Digital,9.99,7027,0.0,0.0,68.0,2014.0,68,7.3
1154,Hatoful Boyfriend,4-Sep-14,PS4,Visual Novel,"Mediatonic, Hato Moa, The Irregular Corporation","200,000-500,000",Devolver Digital,9.99,53853,0.0,0.0,68.0,2015.0,72,6.4
1155,Train Fever,4-Sep-14,PC,Simulation,Urban Games,"200,000-500,000",Good Shepherd Entertainment,19.99,8096,0.0,0.0,67.0,2014.0,67,6.9
1156,A Bird Story,7-Nov-14,PC,Misc,Freebird Games,"200,000-500,000",Freebird Games,3.99,21593,0.0,0.0,66.0,2013.0,66,7
1157,Gods Will Be Watching,24-Jul-14,PC,Adventure,Deconstructeam,"200,000-500,000",Devolver Digital,9.99,8176,0.0,0.0,64.0,1998.0,64,6.4
1158,Castlevania: Lords of Shadow 2,25-Feb-14,PS3,Action-Adventure,MercurySteam,"200,000-500,000",Konami Digital Entertainment,39.99,8675,0.0,0.0,58.0,2014.0,63,7.8
1159,Castlevania: Lords of Shadow 2,25-Feb-14,PC,Action-Adventure,MercurySteam,"200,000-500,000",Konami Digital Entertainment,39.99,9621,0.0,0.0,58.0,2014.0,58,7.7
1160,Castlevania: Lords of Shadow 2,25-Feb-14,X360,Action-Adventure,MercurySteam,"200,000-500,000",Konami Digital Entertainment,39.99,12785,0.0,0.0,58.0,2014.0,70,7.8
1161,Sacred 3,5-Aug-14,PC,Role-Playing,Keen Games,"200,000-500,000",Deep Silver,14.99,9267,0.0,0.0,57.0,2014.0,57,1.5
1162,Sacred 3,5-Aug-14,PS3,Role-Playing,Keen Games,"200,000-500,000",Deep Silver,14.99,11946,0.0,0.0,57.0,2014.0,56,3.6
1163,Sacred 3,5-Aug-14,X360,Role-Playing,Keen Games,"200,000-500,000",Deep Silver,14.99,15042,0.0,0.0,57.0,2014.0,51,4
1164,DreadOut,15-May-14,PC,Adventure,Digital Happiness,"200,000-500,000",Digital Happiness,14.99,10049,0.0,0.0,55.0,2009.0,55,6.4
1165,Enemy Front,10-Jun-14,PC,Shooter,CI Games,"200,000-500,000",CI Games,1.99,9387,0.0,0.0,52.0,2014.0,52,5.7
1166,Enemy Front,10-Jun-14,PS3,Shooter,CI Games,"200,000-500,000",CI Games,1.99,14727,0.0,0.0,52.0,2014.0,43,5.9
1167,Enemy Front,10-Jun-14,X360,Shooter,CI Games,"200,000-500,000",CI Games,1.99,15555,0.0,0.0,52.0,2014.0,35,5.7
1168,Betrayer,24-Mar-14,PC,Action-Adventure,Blackpowder Games,"200,000-500,000",Blackpowder Games,4.99,8390,0.0,0.0,,2008.0,62,7.2
1169,Whispering Willows,9-Jul-14,PC,Misc,Night Light Interactive,"200,000-500,000",Akupara Games,9.99,51227,0.0,0.0,,2014.0,64,7.1
1170,CONSORTIUM,8-Jan-14,PC,Misc,Interdimensional Games Inc,"200,000-500,000",Interdimensional Games Inc,9.99,26972,0.0,0.0,,2014.0,66,7.6
1171,Year Walk,6-Mar-14,PC,Adventure,Simogo,"100,000-200,000",Simogo,5.99,55750,0.0,0.0,87.0,2014.0,87,7
1172,Ikaruga,18-Feb-14,GC,Shooter,Treasure,"100,000-200,000",Treasure,9.99,12977,0.0,0.0,84.0,2003.0,85,8.5
1173,DeadCore,17-Oct-14,PC,Shooter,5 Bits Games,"100,000-200,000",BANDAI NAMCO Entertainment,9.99,53394,0.0,0.0,78.0,2017.0,78,6.8
1174,OlliOlli,22-Jul-14,PC,Sports,"Roll7, General Arcade","100,000-200,000",Devolver Digital,12.99,11956,0.0,0.0,78.0,2014.0,78,6.7
1175,IL-2 Sturmovik: Battle of Stalingrad,22-Oct-14,PC,Action,"1C Game Studios, 777 Studios","100,000-200,000",1C Game Studios,49.99,20785,0.0,0.0,74.0,2014.0,74,6
1176,King's Bounty: Dark Side,19-Aug-14,PC,Role-Playing,1C-SoftClub,"100,000-200,000",1C Entertainment,12.99,35395,0.0,0.0,73.0,2014.0,73,6.3
1177,Strike Vector,28-Jan-14,PC,Misc,Ragequit Corporation,"100,000-200,000",Ragequit Corporation,11.99,46609,0.0,0.0,73.0,2014.0,73,7.7
1178,Cloudbuilt,20-Mar-14,PC,Misc,Coilworks,"100,000-200,000",Rising Star Games,19.99,26678,0.0,0.0,72.0,2014.0,72,7.7
1179,Heavy Bullets,18-Sep-14,PC,Shooter,Terri Vellmann,"100,000-200,000",Devolver Digital,9.99,11608,0.0,0.0,72.0,2014.0,72,7.7
1180,Lichdom: Battlemage,26-Aug-14,PC,Role-Playing,Xaviant,"100,000-200,000",Xaviant Games,9.99,8035,0.0,0.0,69.0,2014.0,69,6.8
1181,Toybox Turbos,11-Nov-14,PC,Racing,Codemasters,"100,000-200,000",Codemasters,14.99,49731,0.0,0.0,69.0,2014.0,69,6.3
1182,The Witcher Adventure Game,27-Nov-14,PC,Adventure,"CD PROJEKT RED, Can Explode","100,000-200,000",CD PROJEKT RED,9.99,55414,0.0,0.0,68.0,,68,5.9
1183,Munin,10-Jun-14,PC,Misc,Gojira,"100,000-200,000",Daedalic Entertainment,4.99,38609,0.0,0.0,68.0,2014.0,68,6.8
1184,Rollers of the Realm,18-Nov-14,PC,Role-Playing,Phantom Compass,"100,000-200,000",SEGA,9.99,43233,0.0,0.0,68.0,2015.0,68,7.4
1185,Crimsonland,11-Jun-14,PS4,Misc,10tons Ltd,"100,000-200,000",10tons Ltd,13.99,27299,0.0,0.0,68.0,2015.0,64,6.2
1186,Crimsonland,11-Jun-14,PC,Misc,10tons Ltd,"100,000-200,000",10tons Ltd,13.99,27302,0.0,0.0,68.0,2014.0,68,7.4
1187,Costume Quest 2,7-Oct-14,PC,Misc,Double Fine Productions,"100,000-200,000","Midnight City , Majesco Entertainment",14.99,27091,0.0,0.0,68.0,2014.0,68,7.5
1188,Costume Quest 2,7-Oct-14,PS4,Role-Playing,Double Fine Productions,"100,000-200,000","Midnight City , Majesco Entertainment",14.99,27097,0.0,0.0,68.0,2014.0,74,6.8
1189,F1 2014,16-Oct-14,PS3,Racing,Codemasters,"100,000-200,000",Codemasters,29.99,5319,0.0,0.0,61.0,2014.0,62,4.2
1190,F1 2014,16-Oct-14,X360,Racing,Codemasters,"100,000-200,000",Codemasters,29.99,8199,0.0,0.0,61.0,2014.0,64,4
1191,F1 2014,16-Oct-14,PC,Racing,Codemasters,"100,000-200,000",Codemasters,29.99,9712,0.0,0.0,61.0,2014.0,61,4.8
1192,Monochroma,28-May-14,PC,Misc,Nowhere Studios,"100,000-200,000",Nowhere Studios,19.99,38233,0.0,0.0,55.0,2014.0,55,6.9
1193,Daylight,29-Apr-14,PS4,Misc,Zombie Studios,"100,000-200,000",Zombie Studios,9.99,27896,0.0,0.0,51.0,2014.0,48,4.6
1194,Daylight,29-Apr-14,PC,Misc,Zombie Studios,"100,000-200,000",Zombie Studios,9.99,27897,0.0,0.0,51.0,2014.0,51,4.3
1195,BlazBlue: Calamity Trigger,13-Feb-14,PS3,Fighting,Arc System Works,"100,000-200,000","H2 Interactive Co., Ltd.",9.99,4029,0.0,0.0,,2009.0,87,8.5
1196,BlazBlue: Calamity Trigger,13-Feb-14,X360,Fighting,Arc System Works,"100,000-200,000","H2 Interactive Co., Ltd.",9.99,5940,0.0,0.0,,2009.0,86,8.5
1197,Double Dragon: Neon,6-Feb-14,PS3,Misc,"WayForward, Abstraction Games","100,000-200,000","Midnight City, Majesco Entertainment",9.99,28929,0.0,0.0,,1995.0,71,7.1
1198,Double Dragon: Neon,6-Feb-14,X360,Misc,"WayForward, Abstraction Games","100,000-200,000","Midnight City, Majesco Entertainment",9.99,28930,0.0,0.0,,1995.0,66,7.3
1199,Halo: Spartan Strike,12-Dec-14,PC,Shooter,"343 Industries, Vanguard Games","100,000-200,000",Xbox Game Studios,2.99,32937,0.0,0.0,,2014.0,66,6.1
1200,Chronology,12-May-14,PC,Misc,Bedtime Digital Games,"100,000-200,000",Bedtime Digital Games,4.99,26470,0.0,0.0,,2014.0,64,6.8
1201,Sokobond,21-Jul-14,PC,Puzzle,"Alan Hazelden, Lee Shang Lun","50,000-100,000",Draknek,9.99,45344,0.0,0.0,82.0,2014.0,82,7.7
1202,Escape Goat 2,24-Mar-14,PC,Misc,MagicalTimeBean,"50,000-100,000",Double Fine Presents,9.99,29973,0.0,0.0,76.0,2014.0,76,7.5
1203,Chariot,12-Nov-14,PS4,Adventure,Frima Studio,"50,000-100,000","Frima Studio, Microids Indie",14.99,26221,0.0,0.0,76.0,2014.0,76,7.2
1204,Warlock 2: The Exiled,10-Apr-14,PC,Misc,Ino-Co Plus,"50,000-100,000",Paradox Interactive,19.99,21260,0.0,0.0,73.0,2014.0,73,7.1
1205,Gray Matter,1-Apr-14,PC,Adventure,WizarBox Production,"50,000-100,000",Viva Media Inc,9.99,13166,0.0,0.0,72.0,2011.0,72,7.7
1206,The Last Federation,18-Apr-14,PC,Misc,"Arcen Games, LLC","50,000-100,000","Arcen Games, LLC",19.99,48442,0.0,0.0,72.0,2014.0,72,7
1207,The Last Tinker: City of Colors,12-May-14,PS4,Platform,Mimimi Games,"50,000-100,000",Daedalic Entertainment,9.99,48454,0.0,0.0,72.0,2014.0,66,6
1208,Lords of Xulima,14-Nov-14,PC,Role-Playing,Numantian Games,"50,000-100,000",Numantian Games,19.99,20982,0.0,0.0,71.0,2014.0,71,8.5
1209,Richard & Alice,5-Jun-14,PC,Adventure,Owl Cave,"50,000-100,000",Owl Cave,5.99,42885,0.0,0.0,70.0,2014.0,70,6.8
1210,Nostradamus: The Last Prophecy,24-Apr-14,PC,Adventure,Microids,"50,000-100,000",Microids,4.99,20472,0.0,0.0,70.0,2007.0,70,5.9
1211,Dracula: The Resurrection,17-Apr-14,PC,Adventure,Microids,"50,000-100,000",Microids,4.99,29043,0.0,0.0,67.0,2000.0,67,6.7
1212,Flockers,19-Sep-14,PC,Misc,Team17 Digital Ltd,"50,000-100,000",Team17 Digital Ltd,19.99,31136,0.0,0.0,66.0,2014.0,66,5.3
1213,Blood of the Werewolf,9-May-14,PC,Misc,Scientifically Proven,"50,000-100,000",Scientifically Proven,1.99,24842,0.0,0.0,65.0,2013.0,65,7.4
1216,Windforge,11-Mar-14,PC,Misc,Snowed In Studios,"50,000-100,000",Snowed In Studios,9.99,51341,0.0,0.0,53.0,2014.0,53,6.9
1217,Blade Kitten,22-May-14,PC,Action,Krome Studios,"50,000-100,000",Krome Studios,2.99,24703,0.0,0.0,52.0,2010.0,52,7.5
1218,Escape Dead Island,18-Nov-14,PS3,Action,Fatshark,"50,000-100,000",Deep Silver,14.99,12545,0.0,0.0,52.0,2014.0,40,3.5
1219,Escape Dead Island,18-Nov-14,X360,Action,Fatshark,"50,000-100,000",Deep Silver,14.99,13831,0.0,0.0,52.0,2014.0,32,3.7
